plant_id,ghgrp_id,plant_name,lat,lon,address,owner,state,plant_age_years,municipality,category_steel_product,steel_products,subregion,subregion_name,region,week_end_date,utilization,co2e_tonnes_per_mwh,estimated_emissions_intensity_tonne_per_tonne_scope2,max_tonnes_of_steel_producible_annually,max_tonnes_of_steel_producible_weekly,scope2_co2e_tonnes_per_week
SUS00074,1006708,CMC Steel New Jersey plant,40.478824, -74.321187,"1 Crossman Road North, Sayreville, NJ 08872, United States",Commercial Metals Co,New Jersey,29.0,Sayreville,finished rolled,rebar; rounds,RFCE,RFC East,North East,2021-01-09T00:00:00Z,0.698,0.505,0.358,653000,12557.692,3139.949
SUS00074,1006708,CMC Steel New Jersey plant,40.478824, -74.321187,"1 Crossman Road North, Sayreville, NJ 08872, United States",Commercial Metals Co,New Jersey,29.0,Sayreville,finished rolled,rebar; rounds,RFCE,RFC East,North East,2021-01-16T00:00:00Z,0.712,0.505,0.358,653000,12557.692,3200.722
SUS00074,1006708,CMC Steel New Jersey plant,40.478824, -74.321187,"1 Crossman Road North, Sayreville, NJ 08872, United States",Commercial Metals Co,New Jersey,29.0,Sayreville,finished rolled,rebar; rounds,RFCE,RFC East,North East,2021-01-23T00:00:00Z,0.689,0.505,0.358,653000,12557.692,3099.433
SUS00074,1006708,CMC Steel New Jersey plant,40.478824, -74.321187,"1 Crossman Road North, Sayreville, NJ 08872, United States",Commercial Metals Co,New Jersey,29.0,Sayreville,finished rolled,rebar; rounds,RFCE,RFC East,North East,2021-01-30T00:00:00Z,0.671,0.505,0.358,653000,12557.692,3018.403
SUS00074,1006708,CMC Steel New Jersey plant,40.478824, -74.321187,"1 Crossman Road North, Sayreville, NJ 08872, United States",Commercial Metals Co,New Jersey,29.0,Sayreville,finished rolled,rebar; rounds,RFCE,RFC East,North East,2021-02-06T00:00:00Z,0.662,0.505,0.358,653000,12557.692,2977.887
SUS00074,1006708,CMC Steel New Jersey plant,40.478824, -74.321187,"1 Crossman Road North, Sayreville, NJ 08872, United States",Commercial Metals Co,New Jersey,29.0,Sayreville,finished rolled,rebar; rounds,RFCE,RFC East,North East,2021-02-13T00:00:00Z,0.698,0.505,0.358,653000,12557.692,3139.949
SUS00074,1006708,CMC Steel New Jersey plant,40.478824, -74.321187,"1 Crossman Road North, Sayreville, NJ 08872, United States",Commercial Metals Co,New Jersey,29.0,Sayreville,finished rolled,rebar; rounds,RFCE,RFC East,North East,2021-02-20T00:00:00Z,0.689,0.505,0.358,653000,12557.692,3099.433
SUS00074,1006708,CMC Steel New Jersey plant,40.478824, -74.321187,"1 Crossman Road North, Sayreville, NJ 08872, United States",Commercial Metals Co,New Jersey,29.0,Sayreville,finished rolled,rebar; rounds,RFCE,RFC East,North East,2021-02-27T00:00:00Z,0.698,0.505,0.358,653000,12557.692,3139.949
SUS00074,1006708,CMC Steel New Jersey plant,40.478824, -74.321187,"1 Crossman Road North, Sayreville, NJ 08872, United States",Commercial Metals Co,New Jersey,29.0,Sayreville,finished rolled,rebar; rounds,RFCE,RFC East,North East,2021-03-06T00:00:00Z,0.707,0.505,0.358,653000,12557.692,3180.464
SUS00074,1006708,CMC Steel New Jersey plant,40.478824, -74.321187,"1 Crossman Road North, Sayreville, NJ 08872, United States",Commercial Metals Co,New Jersey,29.0,Sayreville,finished rolled,rebar; rounds,RFCE,RFC East,North East,2021-03-13T00:00:00Z,0.694,0.505,0.358,653000,12557.692,3119.691
SUS00074,1006708,CMC Steel New Jersey plant,40.478824, -74.321187,"1 Crossman Road North, Sayreville, NJ 08872, United States",Commercial Metals Co,New Jersey,29.0,Sayreville,finished rolled,rebar; rounds,RFCE,RFC East,North East,2021-03-20T00:00:00Z,0.739,0.505,0.358,653000,12557.692,3322.269
SUS00074,1006708,CMC Steel New Jersey plant,40.478824, -74.321187,"1 Crossman Road North, Sayreville, NJ 08872, United States",Commercial Metals Co,New Jersey,29.0,Sayreville,finished rolled,rebar; rounds,RFCE,RFC East,North East,2021-03-27T00:00:00Z,0.748,0.505,0.358,653000,12557.692,3362.784
SUS00074,1006708,CMC Steel New Jersey plant,40.478824, -74.321187,"1 Crossman Road North, Sayreville, NJ 08872, United States",Commercial Metals Co,New Jersey,29.0,Sayreville,finished rolled,rebar; rounds,RFCE,RFC East,North East,2021-04-03T00:00:00Z,0.716,0.505,0.358,653000,12557.692,3220.98
SUS00074,1006708,CMC Steel New Jersey plant,40.478824, -74.321187,"1 Crossman Road North, Sayreville, NJ 08872, United States",Commercial Metals Co,New Jersey,29.0,Sayreville,finished rolled,rebar; rounds,RFCE,RFC East,North East,2021-04-10T00:00:00Z,0.694,0.505,0.358,653000,12557.692,3119.691
SUS00074,1006708,CMC Steel New Jersey plant,40.478824, -74.321187,"1 Crossman Road North, Sayreville, NJ 08872, United States",Commercial Metals Co,New Jersey,29.0,Sayreville,finished rolled,rebar; rounds,RFCE,RFC East,North East,2021-04-17T00:00:00Z,0.739,0.505,0.358,653000,12557.692,3322.269
SUS00074,1006708,CMC Steel New Jersey plant,40.478824, -74.321187,"1 Crossman Road North, Sayreville, NJ 08872, United States",Commercial Metals Co,New Jersey,29.0,Sayreville,finished rolled,rebar; rounds,RFCE,RFC East,North East,2021-04-24T00:00:00Z,0.748,0.505,0.358,653000,12557.692,3362.784
SUS00074,1006708,CMC Steel New Jersey plant,40.478824, -74.321187,"1 Crossman Road North, Sayreville, NJ 08872, United States",Commercial Metals Co,New Jersey,29.0,Sayreville,finished rolled,rebar; rounds,RFCE,RFC East,North East,2021-05-01T00:00:00Z,0.721,0.505,0.358,653000,12557.692,3241.238
SUS00074,1006708,CMC Steel New Jersey plant,40.478824, -74.321187,"1 Crossman Road North, Sayreville, NJ 08872, United States",Commercial Metals Co,New Jersey,29.0,Sayreville,finished rolled,rebar; rounds,RFCE,RFC East,North East,2021-05-08T00:00:00Z,0.676,0.505,0.358,653000,12557.692,3038.66
SUS00074,1006708,CMC Steel New Jersey plant,40.478824, -74.321187,"1 Crossman Road North, Sayreville, NJ 08872, United States",Commercial Metals Co,New Jersey,29.0,Sayreville,finished rolled,rebar; rounds,RFCE,RFC East,North East,2021-05-15T00:00:00Z,0.68,0.505,0.358,653000,12557.692,3058.918
SUS00074,1006708,CMC Steel New Jersey plant,40.478824, -74.321187,"1 Crossman Road North, Sayreville, NJ 08872, United States",Commercial Metals Co,New Jersey,29.0,Sayreville,finished rolled,rebar; rounds,RFCE,RFC East,North East,2021-05-22T00:00:00Z,0.658,0.505,0.358,653000,12557.692,2957.629
SUS00074,1006708,CMC Steel New Jersey plant,40.478824, -74.321187,"1 Crossman Road North, Sayreville, NJ 08872, United States",Commercial Metals Co,New Jersey,29.0,Sayreville,finished rolled,rebar; rounds,RFCE,RFC East,North East,2021-05-29T00:00:00Z,0.662,0.505,0.358,653000,12557.692,2977.887
SUS00074,1006708,CMC Steel New Jersey plant,40.478824, -74.321187,"1 Crossman Road North, Sayreville, NJ 08872, United States",Commercial Metals Co,New Jersey,29.0,Sayreville,finished rolled,rebar; rounds,RFCE,RFC East,North East,2021-06-05T00:00:00Z,0.626,0.505,0.358,653000,12557.692,2815.825
SUS00074,1006708,CMC Steel New Jersey plant,40.478824, -74.321187,"1 Crossman Road North, Sayreville, NJ 08872, United States",Commercial Metals Co,New Jersey,29.0,Sayreville,finished rolled,rebar; rounds,RFCE,RFC East,North East,2021-06-12T00:00:00Z,0.644,0.505,0.358,653000,12557.692,2896.856
SUS00074,1006708,CMC Steel New Jersey plant,40.478824, -74.321187,"1 Crossman Road North, Sayreville, NJ 08872, United States",Commercial Metals Co,New Jersey,29.0,Sayreville,finished rolled,rebar; rounds,RFCE,RFC East,North East,2021-06-19T00:00:00Z,0.68,0.505,0.358,653000,12557.692,3058.918
SUS00074,1006708,CMC Steel New Jersey plant,40.478824, -74.321187,"1 Crossman Road North, Sayreville, NJ 08872, United States",Commercial Metals Co,New Jersey,29.0,Sayreville,finished rolled,rebar; rounds,RFCE,RFC East,North East,2021-06-26T00:00:00Z,0.612,0.505,0.358,653000,12557.692,2755.052
SUS00074,1006708,CMC Steel New Jersey plant,40.478824, -74.321187,"1 Crossman Road North, Sayreville, NJ 08872, United States",Commercial Metals Co,New Jersey,29.0,Sayreville,finished rolled,rebar; rounds,RFCE,RFC East,North East,2021-07-03T00:00:00Z,0.648,0.505,0.358,653000,12557.692,2917.114
SUS00074,1006708,CMC Steel New Jersey plant,40.478824, -74.321187,"1 Crossman Road North, Sayreville, NJ 08872, United States",Commercial Metals Co,New Jersey,29.0,Sayreville,finished rolled,rebar; rounds,RFCE,RFC East,North East,2021-07-10T00:00:00Z,0.626,0.505,0.358,653000,12557.692,2815.825
SUS00074,1006708,CMC Steel New Jersey plant,40.478824, -74.321187,"1 Crossman Road North, Sayreville, NJ 08872, United States",Commercial Metals Co,New Jersey,29.0,Sayreville,finished rolled,rebar; rounds,RFCE,RFC East,North East,2021-07-17T00:00:00Z,0.658,0.505,0.358,653000,12557.692,2957.629
SUS00074,1006708,CMC Steel New Jersey plant,40.478824, -74.321187,"1 Crossman Road North, Sayreville, NJ 08872, United States",Commercial Metals Co,New Jersey,29.0,Sayreville,finished rolled,rebar; rounds,RFCE,RFC East,North East,2021-07-24T00:00:00Z,0.671,0.505,0.358,653000,12557.692,3018.403
SUS00074,1006708,CMC Steel New Jersey plant,40.478824, -74.321187,"1 Crossman Road North, Sayreville, NJ 08872, United States",Commercial Metals Co,New Jersey,29.0,Sayreville,finished rolled,rebar; rounds,RFCE,RFC East,North East,2021-07-31T00:00:00Z,0.703,0.505,0.358,653000,12557.692,3160.207
